Topics,Alpha,Eta,Coherence
6,asymmetric,0.01,-3.018895317321364
6,asymmetric,0.31,-4.153474454742058
6,asymmetric,0.61,-9.255683359488662
6,asymmetric,0.9099999999999999,-11.026470793439819
6,asymmetric,symmetric,-3.558111249493832
7,0.01,0.01,-2.8953476931066695
7,0.01,0.31,-3.624962734128246
7,0.01,0.61,-7.1198688897222935
7,0.01,0.9099999999999999,-8.82718825543119
7,0.01,symmetric,-3.1090203141898556
7,0.31,0.01,-2.617448000109388
7,0.31,0.31,-3.2737573330805856
7,0.31,0.61,-6.958224009615923
7,0.31,0.9099999999999999,-8.339134715930882
7,0.31,symmetric,-2.779474118120258
7,0.61,0.01,-2.6064706370863377
7,0.61,0.31,-2.8340001985772614
7,0.61,0.61,-4.650760433199553
7,0.61,0.9099999999999999,-6.0314198104921255
7,0.61,symmetric,-2.7715318515489087
7,0.9099999999999999,0.01,-2.580805956571066
7,0.9099999999999999,0.31,-2.7057430711825314
7,0.9099999999999999,0.61,-3.2451865318529003
7,0.9099999999999999,0.9099999999999999,-4.2067789474004025
7,0.9099999999999999,symmetric,-2.7733170059160543
7,symmetric,0.01,-2.779363500565407
7,symmetric,0.31,-3.5100725579747922
7,symmetric,0.61,-8.784660559941601
7,symmetric,0.9099999999999999,-10.412281428058446
7,symmetric,symmetric,-3.0675893740533953
7,asymmetric,0.01,-3.0981477028059516
7,asymmetric,0.31,-5.726193323672262
7,asymmetric,0.61,-12.2517593926122
7,asymmetric,0.9099999999999999,-11.434661677714544
7,asymmetric,symmetric,-3.7998247798851437
8,0.01,0.01,-3.1064897384671575
8,0.01,0.31,-4.5765549562307495
8,0.01,0.61,-9.37670130054757
8,0.01,0.9099999999999999,-10.231218178646087
8,0.01,symmetric,-4.486911182671596
8,0.31,0.01,-2.801239162612639
8,0.31,0.31,-3.269383889381321
8,0.31,0.61,-9.841721774477552
8,0.31,0.9099999999999999,-10.799759826869014
8,0.31,symmetric,-3.278185477250192
8,0.61,0.01,-2.5942265442870482
8,0.61,0.31,-3.25641244000051
