Topics,Alpha,Eta,Coherence
3,0.9099999999999999,symmetric,-2.5135466268048923
3,symmetric,0.01,-2.534464899178335
3,symmetric,0.31,-2.4300168764928465
3,symmetric,0.61,-3.112914944478858
3,symmetric,0.9099999999999999,-10.505863173985853
3,symmetric,symmetric,-2.5383830665440708
3,asymmetric,0.01,-2.9613811783847965
3,asymmetric,0.31,-3.227962501815615
3,asymmetric,0.61,-6.409236267856109
3,asymmetric,0.9099999999999999,-8.330195156330438
3,asymmetric,symmetric,-3.596397170173851
4,0.01,0.01,-2.85531156922056
4,0.01,0.31,-4.527748121264288
4,0.01,0.61,-3.242842983860416
4,0.01,0.9099999999999999,-6.46639547401268
4,0.01,symmetric,-3.274342992838716
4,0.31,0.01,-2.560332010687977
4,0.31,0.31,-2.5717779990554237
4,0.31,0.61,-3.608036029770072
4,0.31,0.9099999999999999,-10.827230180180734
4,0.31,symmetric,-2.6670704628260165
4,0.61,0.01,-2.492615886212464
4,0.61,0.31,-2.5180117200935634
4,0.61,0.61,-2.6700918466717836
4,0.61,0.9099999999999999,-3.59717840291862
4,0.61,symmetric,-2.5021412165245964
4,0.9099999999999999,0.01,-2.539096829686273
4,0.9099999999999999,0.31,-2.501060870990458
4,0.9099999999999999,0.61,-2.645857004336686
4,0.9099999999999999,0.9099999999999999,-5.98741242735702
4,0.9099999999999999,symmetric,-2.4621432300113026
4,symmetric,0.01,-2.73169398933443
4,symmetric,0.31,-2.871202332169013
4,symmetric,0.61,-5.492490702721828
4,symmetric,0.9099999999999999,-9.714727979995754
4,symmetric,symmetric,-2.6788416067485388
4,asymmetric,0.01,-3.802098255504654
4,asymmetric,0.31,-6.505027857033772
4,asymmetric,0.61,-8.255440592374569
4,asymmetric,0.9099999999999999,-13.008389506706227
4,asymmetric,symmetric,-4.733335079368459
5,0.01,0.01,-2.8262551630699777
5,0.01,0.31,-3.2668906214376663
5,0.01,0.61,-9.733965996440425
5,0.01,0.9099999999999999,-12.060130088885998
5,0.01,symmetric,-2.931203401755067
5,0.31,0.01,-2.780628209103864
5,0.31,0.31,-3.0807416067581164
5,0.31,0.61,-10.400203225452831
5,0.31,0.9099999999999999,-9.997990372498483
