Topics,Alpha,Eta,Coherence
4,symmetric,0.61,-6.317349531275417
4,symmetric,0.9099999999999999,-6.872748712409053
4,symmetric,symmetric,-2.951822830440728
4,asymmetric,0.01,-3.890114354399188
4,asymmetric,0.31,-8.856521745082585
4,asymmetric,0.61,-11.048651986596106
4,asymmetric,0.9099999999999999,-9.145574410792504
4,asymmetric,symmetric,-6.368120167367841
5,0.01,0.01,-3.0362763775653967
5,0.01,0.31,-7.1238615516508315
5,0.01,0.61,-8.60669977178602
5,0.01,0.9099999999999999,-10.412686597090394
5,0.01,symmetric,-4.853645171346734
5,0.31,0.01,-2.772968116124766
5,0.31,0.31,-5.524045893713118
5,0.31,0.61,-9.708303573119235
5,0.31,0.9099999999999999,-9.788517145548273
5,0.31,symmetric,-4.331359373823875
5,0.61,0.01,-2.6292205136512465
5,0.61,0.31,-4.550816328118891
5,0.61,0.61,-11.122284844019529
5,0.61,0.9099999999999999,-10.166039985372684
5,0.61,symmetric,-3.362519178908696
5,0.9099999999999999,0.01,-2.7825644425294014
5,0.9099999999999999,0.31,-3.999879059766689
5,0.9099999999999999,0.61,-9.66428369457746
5,0.9099999999999999,0.9099999999999999,-9.857048325616669
5,0.9099999999999999,symmetric,-3.050928486854633
5,symmetric,0.01,-3.1579108803881604
5,symmetric,0.31,-7.431939805183406
5,symmetric,0.61,-10.373036250568116
5,symmetric,0.9099999999999999,-9.951499576105636
5,symmetric,symmetric,-4.790800275276624
5,asymmetric,0.01,-3.500424025861959
5,asymmetric,0.31,-7.344531252723755
5,asymmetric,0.61,-11.284712764912959
5,asymmetric,0.9099999999999999,-10.755035100558992
5,asymmetric,symmetric,-5.840157463243524
6,0.01,0.01,-3.3855071552159965
6,0.01,0.31,-5.547924057739816
6,0.01,0.61,-11.028388245382791
6,0.01,0.9099999999999999,-12.281684161972544
6,0.01,symmetric,-4.332590789868518
6,0.31,0.01,-3.3085190980797274
6,0.31,0.31,-5.458419544061607
6,0.31,0.61,-8.61873139264012
6,0.31,0.9099999999999999,-12.248125425422169
6,0.31,symmetric,-4.467874898619898
6,0.61,0.01,-2.899994974542443
6,0.61,0.31,-5.087520736868267
6,0.61,0.61,-12.198787003379502
6,0.61,0.9099999999999999,-11.513376636358515
6,0.61,symmetric,-3.73299413058156
6,0.9099999999999999,0.01,-2.947903818601541
6,0.9099999999999999,0.31,-4.799497460261038
6,0.9099999999999999,0.61,-9.402624688785721
6,0.9099999999999999,0.9099999999999999,-10.882991284080624
6,0.9099999999999999,symmetric,-3.5527051999049646
6,symmetric,0.01,-3.251742957713995
6,symmetric,0.31,-5.844075684201833
6,symmetric,0.61,-9.941728573671897
6,symmetric,0.9099999999999999,-12.81118725499424
6,symmetric,symmetric,-4.160093490217631
6,asymmetric,0.01,-3.827699732973105
6,asymmetric,0.31,-9.8927205525053
6,asymmetric,0.61,-12.277534964591181
6,asymmetric,0.9099999999999999,-12.661960389385717
6,asymmetric,symmetric,-5.773237193525831
7,0.01,0.01,-4.740079769668845
7,0.01,0.31,-9.680207666814685
7,0.01,0.61,-11.524391793063312
7,0.01,0.9099999999999999,-12.905082486941913
7,0.01,symmetric,-8.069204524564814
7,0.31,0.01,-3.2714209696282213
7,0.31,0.31,-9.097620998298884
7,0.31,0.61,-11.846354632931215
7,0.31,0.9099999999999999,-12.550851126476285
7,0.31,symmetric,-6.042420273610841
7,0.61,0.01,-3.174752779607299
7,0.61,0.31,-7.1735684593786555
7,0.61,0.61,-10.712832860167365
7,0.61,0.9099999999999999,-12.197393455515721
7,0.61,symmetric,-4.004855756686639
7,0.9099999999999999,0.01,-3.025360406553585
7,0.9099999999999999,0.31,-4.3081236672568615
7,0.9099999999999999,0.61,-9.762463062425667
7,0.9099999999999999,0.9099999999999999,-12.350985140888858
7,0.9099999999999999,symmetric,-3.043970873822697
7,symmetric,0.01,-4.139319787853412
7,symmetric,0.31,-8.845072408448553
7,symmetric,0.61,-12.813549822910304
7,symmetric,0.9099999999999999,-12.64731089847306
