Topics,Alpha,Eta,Coherence
7,0.61,symmetric,-4.899220951118998
7,0.9099999999999999,0.01,-2.754609808550497
7,0.9099999999999999,0.31,-4.429184313514882
7,0.9099999999999999,0.61,-6.1590562035479985
7,0.9099999999999999,0.9099999999999999,-10.757417445130795
7,0.9099999999999999,symmetric,-4.001180775655188
7,symmetric,0.01,-3.412579568780785
7,symmetric,0.31,-7.10183325824882
7,symmetric,0.61,-13.859916177885486
7,symmetric,0.9099999999999999,-12.15153645353372
7,symmetric,symmetric,-6.278945339657445
7,asymmetric,0.01,-3.6189716344772407
7,asymmetric,0.31,-9.71894370168336
7,asymmetric,0.61,-10.596084756581735
7,asymmetric,0.9099999999999999,-9.660547337924953
7,asymmetric,symmetric,-7.25138476914325
8,0.01,0.01,-4.257942385353559
8,0.01,0.31,-7.074296693804454
8,0.01,0.61,-10.591740151463405
8,0.01,0.9099999999999999,-10.213068425305826
8,0.01,symmetric,-7.717363679133099
8,0.31,0.01,-3.3112395851847656
8,0.31,0.31,-7.955320753147575
8,0.31,0.61,-13.706750195775896
8,0.31,0.9099999999999999,-12.310279197673502
8,0.31,symmetric,-6.8989501437486505
8,0.61,0.01,-3.1444565917863785
8,0.61,0.31,-5.238203071776162
8,0.61,0.61,-8.954686354967983
8,0.61,0.9099999999999999,-11.038996028670171
8,0.61,symmetric,-4.375194464292591
8,0.9099999999999999,0.01,-2.988818276883391
8,0.9099999999999999,0.31,-4.126210791990952
8,0.9099999999999999,0.61,-7.637283985268504
8,0.9099999999999999,0.9099999999999999,-12.048945298652736
8,0.9099999999999999,symmetric,-4.41729717484775
8,symmetric,0.01,-3.944709022794195
8,symmetric,0.31,-9.315616876729962
8,symmetric,0.61,-10.108593081236442
8,symmetric,0.9099999999999999,-11.5095598706719
8,symmetric,symmetric,-6.507022008583338
8,asymmetric,0.01,-4.461671856015227
8,asymmetric,0.31,-8.718980192175456
8,asymmetric,0.61,-11.59281780695613
8,asymmetric,0.9099999999999999,-10.661645378955509
8,asymmetric,symmetric,-8.352673789253334
9,0.01,0.01,-5.067888831630331
9,0.01,0.31,-10.694192682995943
9,0.01,0.61,-11.311125287061188
9,0.01,0.9099999999999999,-11.335401539224357
9,0.01,symmetric,-7.952359916489984
9,0.31,0.01,-3.402788632576694
9,0.31,0.31,-7.748813696570262
9,0.31,0.61,-12.51694582824286
9,0.31,0.9099999999999999,-12.000963935716367
9,0.31,symmetric,-6.06036032298829
9,0.61,0.01,-3.1044113085490457
9,0.61,0.31,-4.912677211447452
9,0.61,0.61,-10.5211659972258
9,0.61,0.9099999999999999,-12.542975055295502
9,0.61,symmetric,-5.442999820237771
9,0.9099999999999999,0.01,-3.0122807765673567
9,0.9099999999999999,0.31,-4.953938229312317
9,0.9099999999999999,0.61,-8.386850175030489
9,0.9099999999999999,0.9099999999999999,-12.796426484177507
9,0.9099999999999999,symmetric,-5.080570699257494
9,symmetric,0.01,-4.434123236713776
9,symmetric,0.31,-8.991837606424648
9,symmetric,0.61,-11.893049673522853
9,symmetric,0.9099999999999999,-11.11021322610214
9,symmetric,symmetric,-7.548668774376754
9,asymmetric,0.01,-5.067242121793745
9,asymmetric,0.31,-9.759886224479448
9,asymmetric,0.61,-11.851582500120124
9,asymmetric,0.9099999999999999,-10.80634397278407
9,asymmetric,symmetric,-8.966469509430837
